10,50,9,386
100,500,0,366
1000,5000,5,859
10000,50000,23,1296
50000,250000,126,1629
100000,500000,270,1996
1000000,5000000,2609,5944
2000000,10000000,5997,10048
5000000,25000000,15756,24310
